model_key,iterations,kind
cat/pooled,248,early_stopping_best
lgb/pooled_l2,285,early_stopping_best
lgb/pooled_output_band,160,early_stopping_best
lgb/G1/raw,555,early_stopping_best
cat/G1/raw,210,early_stopping_best
lgb/G1/raw_l2,157,early_stopping_best
lgb/G1/raw_huber,170,early_stopping_best
cat/G1/q55,289,early_stopping_best
lgb/G1/high_weight,181,early_stopping_best
lgb/G1/q55,254,early_stopping_best
lgb/G1/q58,256,early_stopping_best
lgb/G1/q60,336,early_stopping_best
lgb/G1/q65,233,early_stopping_best
lgb/G1/rare,374,early_stopping_best
cat/G1/rare,274,early_stopping_best
lgb/G1/active_probability,104,early_stopping_best
lgb/G1/gfs_only_lgb_l2,344,early_stopping_best
lgb/G1/ldaps_only_lgb_l2,277,early_stopping_best
lgb/G1/nwp_no_lstm_lgb_l2,279,early_stopping_best
lgb/G1/weather_consensus_lgb_l2,298,early_stopping_best
lgb/G1/weather_s75,522,early_stopping_best
lgb/G1/weather_s125,608,early_stopping_best
lgb/G1/output_band,113,early_stopping_best
cat/G1/output_band,133,early_stopping_best
lgb/G1/high_probability_60,204,early_stopping_best
lgb/G1/high_probability_80,88,early_stopping_best
lgb/G1/expert_band0,97,early_stopping_best
lgb/G1/expert_band1,38,early_stopping_best
lgb/G1/expert_band2,24,early_stopping_best
lgb/G1/expert_band3,29,early_stopping_best
lgb/G2/raw,516,early_stopping_best
cat/G2/raw,1261,early_stopping_best
lgb/G2/raw_l2,85,early_stopping_best
lgb/G2/raw_huber,84,early_stopping_best
cat/G2/q55,1185,early_stopping_best
lgb/G2/high_weight,234,early_stopping_best
lgb/G2/q55,665,early_stopping_best
lgb/G2/q58,726,early_stopping_best
lgb/G2/q60,1066,early_stopping_best
lgb/G2/q65,372,early_stopping_best
lgb/G2/rare,1044,early_stopping_best
cat/G2/rare,134,early_stopping_best
lgb/G2/active_probability,116,early_stopping_best
lgb/G2/gfs_only_lgb_l2,420,early_stopping_best
lgb/G2/ldaps_only_lgb_l2,89,early_stopping_best
lgb/G2/nwp_no_lstm_lgb_l2,527,early_stopping_best
lgb/G2/weather_consensus_lgb_l2,200,early_stopping_best
lgb/G2/weather_s75,657,early_stopping_best
lgb/G2/weather_s125,211,early_stopping_best
lgb/G2/output_band,95,early_stopping_best
cat/G2/output_band,120,early_stopping_best
lgb/G2/high_probability_60,59,early_stopping_best
lgb/G2/high_probability_80,118,early_stopping_best
lgb/G2/expert_band0,47,early_stopping_best
lgb/G2/expert_band1,3,early_stopping_best
lgb/G2/expert_band2,18,early_stopping_best
lgb/G2/expert_band3,15,early_stopping_best
lgb/G3/raw,284,early_stopping_best
cat/G3/raw,492,early_stopping_best
lgb/G3/raw_l2,185,early_stopping_best
lgb/G3/raw_huber,209,early_stopping_best
cat/G3/q55,239,early_stopping_best
lgb/G3/high_weight,211,early_stopping_best
lgb/G3/q55,220,early_stopping_best
lgb/G3/q58,208,early_stopping_best
lgb/G3/q60,151,early_stopping_best
lgb/G3/q65,144,early_stopping_best
lgb/G3/rare,225,early_stopping_best
cat/G3/rare,199,early_stopping_best
lgb/G3/active_probability,275,early_stopping_best
lgb/G3/gfs_only_lgb_l2,216,early_stopping_best
lgb/G3/ldaps_only_lgb_l2,202,early_stopping_best
lgb/G3/nwp_no_lstm_lgb_l2,148,early_stopping_best
lgb/G3/weather_consensus_lgb_l2,272,early_stopping_best
lgb/G3/weather_s75,578,early_stopping_best
lgb/G3/weather_s125,327,early_stopping_best
lgb/G3/output_band,99,early_stopping_best
cat/G3/output_band,175,early_stopping_best
lgb/G3/high_probability_60,176,early_stopping_best
lgb/G3/high_probability_80,67,early_stopping_best
lgb/G3/expert_band0,98,early_stopping_best
lgb/G3/expert_band1,1,early_stopping_best
lgb/G3/expert_band2,8,early_stopping_best
lgb/G3/expert_band3,1,early_stopping_best
lgb/correction/event/G1/under,587,early_stopping_best
lgb/correction/event/G1/over,713,early_stopping_best
lgb/correction/event/G2/under,516,early_stopping_best
lgb/correction/event/G2/over,725,early_stopping_best
lgb/correction/event/G3/under,149,early_stopping_best
lgb/correction/event/G3/over,1,early_stopping_best
lgb/correction/event/pooled/under,1482,early_stopping_best
lgb/correction/event/pooled/over,783,early_stopping_best
lgb/correction/residual/G1/under,1126,early_stopping_best
lgb/correction/residual/G1/over,212,early_stopping_best
lgb/correction/residual/G1/magnitude,146,early_stopping_best
lgb/correction/residual/G2/under,1209,early_stopping_best
lgb/correction/residual/G2/over,176,early_stopping_best
