kst_dtm,unison_wtg01_power_kw10m,unison_wtg02_power_kw10m,unison_wtg03_power_kw10m,unison_wtg04_power_kw10m,unison_wtg05_power_kw10m,unison_wtg01_ws,unison_wtg02_ws,unison_wtg03_ws,unison_wtg04_ws,unison_wtg05_ws,unison_wtg01_wd,unison_wtg02_wd,unison_wtg03_wd,unison_wtg04_wd,unison_wtg05_wd
2023-01-01 00:10:00,706.0,702.0,0.0,705.0,707.0,13.73,15.03,16.42,13.97,14.57,-79.0053267660463,-69.9466087874297,-124.739623132294,-90.9380624938242,-130.941879992576
2023-01-01 00:20:00,706.0,702.0,0.0,684.0,708.0,13.61,14.76,16.51,14.96,14.34,-77.4791723442508,-68.1925933641228,-122.671765319995,-87.9767556539628,-131.394958500908
2023-01-01 00:30:00,708.0,702.0,0.0,408.0,706.0,14.59,14.7,16.41,12.68,13.55,-75.6242824742198,-67.0505907941248,-122.046215606038,-87.0099444283828,-132.164141673364
2023-01-01 00:40:00,699.0,384.0,0.0,702.0,706.0,14.62,15.64,15.28,12.46,14.37,-76.6081661201003,-66.8362323014402,-122.675857968418,-88.5333406034772,-132.392294855668
2023-01-01 00:50:00,610.0,471.0,0.0,698.0,706.0,14.2,15.36,14.79,14.16,14.95,-76.2319353771683,-65.4851852718332,-123.190200755533,-88.3522114747713,-132.589050621042
2023-01-01 01:00:00,0.0,701.0,0.0,705.0,706.0,12.87,15.03,17.56,14.08,15.15,-75.1857488545843,-65.3900062262917,-123.106811194678,-87.4715927848888,-132.597436822
2023-01-01 01:10:00,0.0,542.0,0.0,693.0,706.0,11.7,14.69,16.79,15.29,16.55,-72.9612718897923,-64.8893489714348,-123.119436132007,-87.2847014440143,-131.136198601742
2023-01-01 01:20:00,0.0,0.0,0.0,704.0,708.0,12.32,13.98,17.55,13.5,15.77,-70.8691661805102,-61.1052958344083,-122.680855843964,-87.8085562148403,-130.127844563643
2023-01-01 01:30:00,0.0,0.0,0.0,689.0,708.0,11.81,14.3,15.4,14.65,15.21,-72.3637061587908,-58.4197089189393,-123.206740178748,-86.7192332214548,-130.762611476453
2023-01-01 01:40:00,0.0,0.0,0.0,67.0,706.0,13.03,14.88,15.22,14.92,15.48,-72.1307112797247,-58.2962681935188,-124.644389374943,-82.9281786845763,-131.262600400447
2023-01-01 01:50:00,0.0,0.0,0.0,0.0,706.0,13.44,14.14,16.45,14.51,15.99,-72.3456981209898,-56.7660117467693,-123.973914058023,-82.1680730341498,-132.183697387691
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,706.0,11.35,14.23,16.15,14.6,15.18,-77.0036085796468,-58.3048561547612,-123.651861349408,-82.2738430168647,-132.963194217626
2023-01-01 02:10:00,0.0,0.0,0.0,0.0,707.0,10.51,14.89,16.92,15.12,16.76,-80.1534352651223,-60.8974862982627,-124.08576578465,-82.8960327537653,-132.809565458533
2023-01-01 02:20:00,0.0,0.0,0.0,0.0,706.0,11.09,14.16,18.92,14.39,16.22,-80.2617251299558,-58.6735226320013,-123.956691682542,-83.5579813036228,-132.732763942091
2023-01-01 02:30:00,0.0,0.0,0.0,0.0,708.0,10.33,13.48,18.3,14.3,15.51,-79.2941211892878,-58.2011794063698,-124.100843918384,-82.1852702646673,-132.274263794438
2023-01-01 02:40:00,0.0,0.0,0.0,0.0,708.0,10.8,14.76,18.06,12.77,15.96,-77.5632812331798,-59.4657255920718,-124.503682181902,-79.9234589502293,-132.471515662871
2023-01-01 02:50:00,0.0,0.0,0.0,0.0,707.0,11.72,14.38,17.05,13.37,16.32,-77.2666411730198,-58.5786408369188,-123.088204461741,-80.6782355794748,-131.88391198133
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,706.0,10.34,15.36,17.46,14.05,15.88,-74.6174078487818,-56.8138845791113,-121.375958931273,-80.7851601456628,-128.342749313522
2023-01-01 03:10:00,0.0,0.0,0.0,0.0,706.0,11.66,15.82,17.15,14.2,16.41,-71.8457834469648,-57.9829857350503,-120.776108082218,-79.4172154577303,-125.999360026965
2023-01-01 03:20:00,0.0,0.0,0.0,0.0,707.0,11.42,17.2,16.67,15.39,14.85,-71.6646581524197,-58.9790547072353,-120.179091348681,-80.5152386666857,-126.466535995136
2023-01-01 03:30:00,0.0,0.0,0.0,0.0,707.0,11.49,16.29,17.6,13.88,15.94,-73.0704913508658,-59.2330045824403,-121.925453405341,-81.2403252917628,-128.197154612594
2023-01-01 03:40:00,0.0,0.0,0.0,0.0,707.0,9.929999,16.03,16.98,16.19,15.37,-74.7951901802428,-59.7634287578197,-122.688065213639,-82.0552724302328,-129.258969548898
2023-01-01 03:50:00,0.0,0.0,0.0,0.0,708.0,10.85,16.96,17.16,15.41,16.17,-73.0153611720643,-58.9718999920163,-121.955962012748,-81.2376985993378,-129.620826963878
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,707.0,11.18,16.54,16.93,15.24,17.52,-70.1128442055168,-58.5392182538428,-121.259789169214,-79.5163771755767,-128.111005330836
2023-01-01 04:10:00,0.0,0.0,0.0,0.0,706.0,12.46,15.88,18.22,14.11,17.29,-68.4735714928358,-57.8713679567908,-120.895991962437,-81.0311612343472,-126.408984190061
2023-01-01 04:20:00,0.0,0.0,0.0,0.0,707.0,13.25,17.24,18.46,16.14,16.94,-66.5415074823398,-58.7893769069643,-121.416967405526,-80.3373587034782,-126.195558822516
2023-01-01 04:30:00,3.0,25.0,0.0,8.0,706.0,13.46,17.6,18.29,13.6,17.32,-66.9027633371278,-59.0121771254153,-121.530365015944,-79.3570258337032,-125.166018623536
2023-01-01 04:40:00,685.0,701.0,0.0,448.0,707.0,13.18,17.91,16.89,15.12,17.33,-72.7577504498948,-62.3020881047368,-122.302605558505,-83.4679203112068,-126.498208867893
2023-01-01 04:50:00,684.0,701.0,0.0,703.0,707.0,14.53,16.7,17.51,14.95,16.78,-76.1329514814753,-66.0729978690018,-122.028830855686,-85.6376509360433,-127.857788871769
2023-01-01 05:00:00,704.0,702.0,0.0,704.0,708.0,13.94,16.89,17.73,15.5,17.2,-75.7707029567213,-65.5681031731088,-121.178215523636,-84.7941384231843,-127.261628073027
2023-01-01 05:10:00,697.0,702.0,0.0,701.0,707.0,14.93,17.76,17.11,15.96,17.37,-76.1334464555243,-65.7542727627668,-121.834250580665,-84.3201838205463,-126.540926207558
2023-01-01 05:20:00,705.0,703.0,0.0,705.0,706.0,14.01,17.24,17.25,16.7,16.81,-77.1062927561208,-66.0596372985603,-122.985096093025,-85.0280975744687,-125.749373509081
2023-01-01 05:30:00,692.0,702.0,0.0,705.0,706.0,14.94,18.11,18.42,16.36,17.21,-78.4701784359963,-66.9242723842263,-123.622128911641,-86.9980305049262,-127.645214846354
2023-01-01 05:40:00,705.0,703.0,0.0,706.0,706.0,13.5,16.69,17.47,15.58,17.57,-76.1247767689973,-64.8716319779372,-122.495046164815,-85.3932184932748,-128.095235040065
2023-01-01 05:50:00,700.0,700.0,0.0,547.0,706.0,13.61,15.84,16.88,15.28,16.86,-74.7665976942888,-62.3933599572547,-120.798098703318,-81.4751715498177,-124.505496793724
2023-01-01 06:00:00,684.0,703.0,0.0,605.0,708.0,13.97,16.7,16.53,14.65,17.24,-75.4501949470093,-63.3165515286417,-120.183230756499,-81.4432103311612,-124.205832751094
2023-01-01 06:10:00,698.0,702.0,0.0,705.0,708.0,13.58,17.72,18.01,16.44,16.3,-73.2200315351343,-62.5971074062062,-119.713796003039,-81.6655781514743,-125.341021848302
2023-01-01 06:20:00,695.0,394.0,0.0,437.0,406.0,13.24,16.78,18.19,15.96,17.67,-74.7990673623423,-61.0762404837388,-120.020990727619,-81.1650733474218,-123.551907489997
2023-01-01 06:30:00,697.0,436.0,0.0,0.0,709.0,13.6,16.23,18.32,16.07,17.31,-77.5718955938423,-61.3421854553088,-121.077807675163,-79.9795475024528,-125.58206056592
2023-01-01 06:40:00,688.0,703.0,0.0,0.0,709.0,13.82,16.98,18.41,16.89,18.3,-78.9156608390408,-62.3019967793193,-122.394601561297,-77.7319786038663,-126.20049828292
2023-01-01 06:50:00,674.0,703.0,0.0,597.0,468.0,12.23,16.31,17.83,16.17,17.93,-78.2180384244932,-62.5452355569773,-119.129845958392,-79.6053986132978,-123.307979985838
2023-01-01 07:00:00,702.0,704.0,0.0,700.0,0.0,12.72,15.72,16.83,15.94,16.8,-78.0014036653263,-63.9615886387078,-114.006066740781,-83.1591143062068,-121.524527066786
2023-01-01 07:10:00,441.0,703.0,0.0,702.0,0.0,13.17,16.67,15.87,15.92,16.64,-78.5201131247688,-64.5869767573743,-114.376463603554,-85.1033887371448,-122.336231188735
2023-01-01 07:20:00,689.0,702.0,123.0,608.0,423.0,12.53,17.34,16.56,15.59,17.77,-77.5296640278208,-63.8332340091947,-117.215820031575,-83.4397412073713,-126.313136406319
2023-01-01 07:30:00,654.0,703.0,130.0,519.0,707.0,13.04,16.1,16.42,15.73,16.68,-77.8686997173978,-63.9584643298127,-118.968640467246,-81.3575472330853,-129.089115584456
2023-01-01 07:40:00,605.0,704.0,359.0,705.0,706.0,11.48,17.04,15.26,15.3,16.94,-80.0327138248888,-64.4078660964998,-120.298909901953,-84.0233926175308,-130.75338453088
2023-01-01 07:50:00,622.0,703.0,704.0,705.0,707.0,10.0,15.99,14.82,14.17,16.03,-82.3698306389743,-64.2584765759437,-122.572750109954,-87.4920970520943,-132.274060716952
2023-01-01 08:00:00,695.0,702.0,704.0,705.0,706.0,10.98,15.32,14.69,14.69,16.3,-83.9124653039938,-64.3596472010782,-124.168289928739,-88.8849443852927,-133.663812114344
2023-01-01 08:10:00,651.0,704.0,704.0,706.0,706.0,11.97,14.19,15.32,15.7,16.93,-85.1155254497353,-66.2869440361252,-125.318161540167,-90.3277904529393,-135.310274253875
2023-01-01 08:20:00,703.0,704.0,704.0,705.0,706.0,11.1,14.67,16.19,15.03,17.13,-84.8254139122712,-67.6296158764737,-126.799392886507,-90.6918223417533,-136.181791847873
2023-01-01 08:30:00,699.0,703.0,703.0,705.0,706.0,12.1,14.64,15.98,15.79,16.83,-84.7233409547223,-68.0434499146278,-127.60839895423,-90.3177415554563,-136.044191452554
2023-01-01 08:40:00,681.0,703.0,704.0,704.0,704.0,12.35,14.07,15.61,15.26,16.39,-84.9444086565088,-69.4226968260623,-127.91447868343,-91.6164475804433,-135.861613318165
2023-01-01 08:50:00,641.0,700.0,695.0,705.0,705.0,11.0,13.89,14.51,15.01,16.61,-84.7947950771728,-72.0353396355488,-128.365636174476,-92.5684931078278,-135.484616218864
2023-01-01 09:00:00,614.0,704.0,682.0,706.0,706.0,10.85,14.21,13.33,15.79,16.66,-82.5956371558923,-72.2917228762363,-127.401035196387,-94.0994944363918,-135.394682860123
2023-01-01 09:10:00,670.0,285.0,705.0,707.0,707.0,10.32,15.42,12.62,15.53,16.34,-79.2010760935948,-68.0118317180218,-126.509691766727,-93.4044517015723,-134.501745390853
2023-01-01 09:20:00,667.0,,704.0,706.0,706.0,11.5,15.1,13.01,14.1,15.04,-77.9579417346558,-65.7021185754453,-126.688652056713,-92.0646149611933,-134.232748566068
2023-01-01 09:30:00,650.0,,691.0,704.0,706.0,11.65,15.56,13.16,13.59,15.03,-79.8427350534133,-64.8848884799378,-127.414075705732,-90.5775898864363,-134.490819583998
2023-01-01 09:40:00,591.0,,672.0,704.0,705.0,11.54,14.87,13.53,13.45,14.84,-79.6743092809052,-63.9039956835348,-127.15685638908,-89.8800164029198,-134.652855577176
2023-01-01 09:50:00,545.0,,698.0,702.0,705.0,9.78,15.1,12.96,14.32,14.68,-80.4373648247002,-64.6230555375557,-126.397524567557,-90.6367784277148,-134.515048311829
2023-01-01 10:00:00,645.0,,696.0,659.0,705.0,9.57,14.8,13.63,13.57,14.23,-80.5028080686632,-64.0346524416487,-125.436339775609,-88.5651424797528,-133.310706163606
2023-01-01 10:10:00,668.0,,656.0,652.0,670.0,10.85,14.94,13.27,13.0,14.18,-75.1924392116828,-61.6437980708248,-123.019861757568,-87.7883513543318,-131.259209445771
2023-01-01 10:20:00,555.0,347.0,611.0,626.0,683.0,11.5,12.78,11.34,11.2,11.08,-74.1411519636007,-62.8162562914183,-121.923770840272,-88.0956291962863,-130.788199357891
2023-01-01 10:30:00,596.0,640.0,589.0,647.0,677.0,9.929999,12.19,10.84,10.74,11.3,-76.5895326438347,-66.6174457314643,-122.52615324285,-86.8857062091718,-132.500652725795
2023-01-01 10:40:00,561.0,630.0,673.0,637.0,696.0,10.07,11.23,10.5,11.09,11.16,-79.1123328507997,-69.4899534634123,-122.9026038258,-87.8053232293253,-132.150242036002
2023-01-01 10:50:00,491.0,673.0,651.0,599.0,685.0,9.78,10.78,12.08,10.77,11.96,-80.3132912709557,-69.9416067443308,-122.932947945789,-90.1968416272253,-131.347390631879
2023-01-01 11:00:00,513.0,571.0,588.0,591.0,667.0,8.95,11.89,11.22,10.13,11.3,-77.6737909877863,-67.6908930164072,-126.536802651674,-90.5650915562353,-132.230745939106
2023-01-01 11:10:00,560.0,621.0,618.0,520.0,660.0,8.96,10.08,10.23,9.889999,10.85,-76.7446519459098,-68.6119807989452,-126.511733490166,-88.9653990044868,-132.349055683302
2023-01-01 11:20:00,459.0,585.0,487.0,567.0,656.0,9.389999,10.83,10.41,9.77,10.46,-78.9172013162023,-72.7629855555353,-123.475683834251,-88.7911120110923,-133.70766786825
2023-01-01 11:30:00,491.0,622.0,348.0,541.0,677.0,8.429999,9.77,9.34,9.94,10.47,-78.0108151155832,-72.9480317534403,-125.338354559659,-90.4221387219893,-133.780398651523
2023-01-01 11:40:00,513.0,516.0,630.0,530.0,549.0,9.059999,10.82,7.39,9.27,10.81,-77.9691720259088,-70.1421540768922,-123.786172736696,-88.5729651516112,-128.892492688754
2023-01-01 11:50:00,605.0,369.0,541.0,407.0,482.0,9.07,9.309999,11.26,9.389999,9.83,-77.6664501762598,-68.5658549325092,-121.878633237481,-86.7433995625643,-128.759653389046
2023-01-01 12:00:00,486.0,339.0,501.0,137.0,426.0,9.79,6.99,9.7,8.03,8.26,-75.7005794356113,-65.8310901749213,-122.16310351458,-85.5526111584828,-133.507243232554
2023-01-01 12:10:00,591.0,374.0,251.0,271.0,476.0,8.8,7.32,9.2,4.8,7.46,-77.6480907816247,-67.7805092299763,-124.060898069073,-89.3394945821892,-135.121247825489
2023-01-01 12:20:00,521.0,304.0,527.0,334.0,456.0,9.98,7.16,6.46,6.48,8.29,-80.1444072354563,-66.6175683106738,-123.522572163324,-92.5720814510022,-133.312225885923
2023-01-01 12:30:00,613.0,460.0,510.0,368.0,440.0,9.51,6.78,9.5,7.2,8.27,-78.4394563554342,-65.3807266108063,-120.287852590467,-87.5936149535183,-130.56604335953
2023-01-01 12:40:00,602.0,491.0,525.0,441.0,514.0,10.64,8.48,9.38,8.03,8.59,-78.8126684392738,-68.3565868774992,-122.373996388321,-89.1135488782648,-129.961666401559
2023-01-01 12:50:00,491.0,324.0,502.0,547.0,606.0,10.08,8.809999,9.44,8.5,9.02,-82.1898126339823,-68.0098632800407,-125.267723113463,-90.1454282395158,-131.807248455287
2023-01-01 13:00:00,656.0,456.0,493.0,639.0,615.0,9.179999,8.66,9.21,10.34,10.25,-78.7925044262917,-67.2021493774567,-125.076865627708,-89.8170775861263,-132.74117666381
2023-01-01 13:10:00,640.0,458.0,617.0,484.0,607.0,11.74,8.429999,9.79,11.8,10.3,-76.6090524440748,-65.5579803252658,-123.041150071954,-88.7902825040433,-131.271727192452
2023-01-01 13:20:00,565.0,525.0,560.0,494.0,566.0,11.43,8.309999,11.71,8.71,9.94,-78.7490407139993,-66.6318699008838,-122.37235791541,-87.6065194589642,-131.241593512797
2023-01-01 13:30:00,650.0,475.0,475.0,380.0,624.0,10.29,10.15,9.73,9.21,9.86,-77.9093886529353,-69.0024837511198,-124.69593041164,-91.7704707667912,-133.286453552571
2023-01-01 13:40:00,660.0,564.0,633.0,298.0,473.0,12.16,8.21,8.889999,7.66,10.25,-76.9237569411943,-68.2141901138283,-122.80996651123,-87.1401583803168,-133.737442056927
2023-01-01 13:50:00,699.0,463.0,568.0,349.0,361.0,12.74,10.13,11.67,7.0,8.84,-76.9178981333368,-65.9490488830698,-118.799528755388,-82.1503211300653,-130.89041650739
2023-01-01 14:00:00,425.0,487.0,674.0,396.0,400.0,12.75,8.75,11.24,7.93,7.51,-75.3033458585328,-61.9582958080448,-120.092724353715,-84.7598784458813,-130.366921710942
2023-01-01 14:10:00,676.0,459.0,629.0,411.0,513.0,13.65,8.96,12.55,7.6,7.71,-75.3424439237368,-59.8343988066163,-120.864428952821,-84.7974997410018,-128.768569836276
2023-01-01 14:20:00,689.0,157.0,681.0,431.0,450.0,12.49,9.38,11.52,8.34,9.34,-77.7794065238308,-67.0299438933538,-117.069469954948,-85.3447821425503,-125.92347388871
2023-01-01 14:30:00,701.0,,653.0,466.0,248.0,12.55,7.21,12.94,8.21,8.73,-78.0239194672967,-67.4768014130998,-115.129316858842,-85.4139842587183,-122.944712877702
2023-01-01 14:40:00,696.0,,596.0,229.0,426.0,13.08,9.24,12.93,9.12,6.26,-77.2800171914148,-59.6308337656993,-116.407009024536,-84.6048626397558,-126.560789185157
2023-01-01 14:50:00,706.0,143.0,496.0,350.0,408.0,12.42,8.38,10.6,6.3,7.97,-76.0319745947673,-57.6300698706063,-116.576309494514,-85.8698214842853,-131.404831459416
2023-01-01 15:00:00,620.0,260.0,637.0,329.0,586.0,12.8,7.53,9.349999,7.48,7.52,-75.7740873678847,-69.0353044755787,-114.159449600303,-83.5368971152413,-125.905984508869
2023-01-01 15:10:00,621.0,224.0,582.0,455.0,471.0,10.92,6.23,12.08,7.17,10.3,-77.5111433648353,-73.5817107115097,-113.575636935763,-80.3365400196858,-122.650426250955
2023-01-01 15:20:00,116.0,236.0,641.0,311.0,479.0,10.87,5.85,10.64,8.849999,9.46,-80.2356282176333,-75.4273755983378,-115.745359498026,-79.5529689601738,-124.725546765666
2023-01-01 15:30:00,,197.0,596.0,388.0,314.0,11.46,6.46,11.86,7.23,9.01,-74.6437611955903,-78.4657677768963,-113.228031564111,-81.8934426783203,-126.207298822351
2023-01-01 15:40:00,,264.0,246.0,455.0,345.0,9.88,6.02,11.2,7.6,7.18,-68.8141435166648,-71.6838832111368,-117.028931613681,-87.8970806056223,-125.179529516497
2023-01-01 15:50:00,65.0,299.0,330.0,290.0,501.0,9.349999,6.63,6.53,8.77,7.26,-72.9701378157272,-69.6464541866008,-126.586861052588,-93.2154940286517,-129.360746048752
2023-01-01 16:00:00,554.0,251.0,129.0,193.0,430.0,8.929999,7.1,7.22,6.77,8.679999,-75.3659493120927,-71.6682918373098,-126.878056821432,-94.7901073685073,-134.698028501491
2023-01-01 16:10:00,537.0,217.0,117.0,198.0,497.0,9.63,6.15,5.25,5.75,8.28,-77.5757287620713,-71.8100840428428,-125.775501063963,-92.6486044801837,-135.330114854641
2023-01-01 16:20:00,486.0,278.0,95.0,208.0,535.0,8.94,6.12,4.42,6.23,9.11,-80.5875733838008,-71.9785093544558,-127.276586976818,-93.9592240967833,-135.328543964506
2023-01-01 16:30:00,552.0,188.0,120.0,156.0,494.0,8.91,6.95,4.35,5.99,9.65,-77.7587242433898,-74.5105770801202,-124.752785185625,-92.9675728371068,-134.768718473888
2023-01-01 16:40:00,426.0,106.0,155.0,207.0,413.0,10.05,5.92,4.96,5.29,8.849999,-75.5667840670127,-69.5278580774658,-124.035096860208,-90.1069026123862,-133.861870139652
2023-01-01 16:50:00,506.0,222.0,455.0,184.0,204.0,8.28,4.54,5.15,5.75,8.02,-76.5755855706357,-71.8958382443263,-121.979362846596,-88.1556927494198,-132.45356483153
2023-01-01 17:00:00,400.0,77.0,537.0,301.0,156.0,9.309999,5.84,9.04,5.63,6.31,-75.2797563403253,-79.0421325920368,-115.698899603186,-81.6266092319732,-130.203925283195
2023-01-01 17:10:00,322.0,125.0,382.0,184.0,388.0,7.98,4.05,10.2,7.25,5.94,-75.3237994709513,-79.3059177314683,-116.577038063948,-82.6085805336783,-126.708773574117
2023-01-01 17:20:00,55.0,98.0,324.0,271.0,306.0,6.99,4.66,7.89,5.58,8.24,-77.4720388537167,-74.1161460683223,-121.199200329462,-89.4712232340148,-125.721815279073
2023-01-01 17:30:00,149.0,104.0,321.0,189.0,426.0,3.48,4.65,7.3,6.46,7.12,-76.9399773473423,-71.2497127476998,-119.915079409619,-88.0929344474398,-128.250875089845
2023-01-01 17:40:00,170.0,64.0,385.0,272.0,297.0,5.09,4.47,7.39,5.35,8.16,-71.8495111246678,-78.8483480783258,-117.602384194674,-80.4052631106813,-127.842829618047
2023-01-01 17:50:00,150.0,68.0,239.0,314.0,302.0,5.59,3.71,7.98,6.74,7.39,-69.3219337870788,-70.2255266903113,-114.78019519319,-77.1821812871713,-123.598899209515
2023-01-01 18:00:00,92.0,59.0,223.0,349.0,241.0,5.75,3.93,6.56,7.06,7.31,-65.4863067496653,-59.0076917878338,-114.068999653637,-78.8138617141087,-118.791781621193
2023-01-01 18:10:00,174.0,69.0,270.0,219.0,211.0,4.51,3.47,6.42,7.63,6.89,-66.5869768493707,-61.4838822558528,-119.427404473693,-81.0520039787393,-122.008313264673
2023-01-01 18:20:00,118.0,127.0,191.0,183.0,387.0,5.6,3.83,6.79,6.16,6.28,-73.8709576288677,-67.3087397978047,-121.406482702923,-86.9680206421538,-129.152460881232
2023-01-01 18:30:00,88.0,96.0,201.0,229.0,436.0,5.1,5.17,6.0,6.12,8.03,-72.3738874049677,-71.1009801123213,-121.696691908014,-92.2419900457327,-129.409736013261
2023-01-01 18:40:00,137.0,74.0,216.0,148.0,308.0,4.49,4.42,6.02,6.37,8.66,-67.6879192870967,-63.2656361438593,-120.312006375237,-86.6252140300288,-125.639154272489
2023-01-01 18:50:00,86.0,68.0,236.0,207.0,225.0,5.5,4.46,6.39,5.5,7.49,-63.6587367028727,-58.8427209063988,-116.456392221042,-78.5971565264843,-123.823637254696
2023-01-01 19:00:00,118.0,49.0,188.0,232.0,236.0,4.68,4.13,6.69,6.37,6.68,-62.7762174647767,-58.0835153818932,-115.382540514166,-77.0663993868427,-122.985274406936
2023-01-01 19:10:00,153.0,99.0,271.0,339.0,249.0,5.46,3.78,6.17,6.19,6.62,-66.8787600648583,-59.4477592337687,-116.389538738688,-80.3107149023353,-123.06509733224
